disease,symptoms,description,prevention,treatment
Fungal infection,itching skin rash nodal skin eruptions dischromic  patches,"Infection caused by fungi affecting skin, nails, or internal organs.",Keep skin clean and dry. Avoid sharing personal items. Wear breathable clothing.,Antifungal medications (topical or oral). Maintain good hygiene. Follow medical advice.
Allergy,continuous sneezing shivering chills watering from eyes,"Immune system reaction to foreign substances like pollen, food, or pet dander.",Identify and avoid allergens. Keep environment clean. Use air purifiers.,Antihistamines. Decongestants. Allergy shots (immunotherapy). Avoid triggers.
GERD,stomach pain acidity ulcers on tongue vomiting cough chest pain,Gastroesophageal reflux disease where stomach acid flows back into esophagus.,Avoid trigger foods. Eat smaller meals. Dont lie down after eating. Maintain healthy weight.,Antacids. H2 blockers. Proton pump inhibitors. Lifestyle modifications.
Chronic cholestasis,itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,Condition where bile flow from liver is reduced or blocked.,Avoid alcohol. Maintain healthy weight. Regular medical checkups.,Treat underlying cause. Medications. Liver transplant in severe cases.
Drug Reaction,itching skin rash stomach pain burning micturition spotting  urination,Adverse reaction to medication affecting various body systems.,Inform doctors of allergies. Follow prescribed dosages. Read medication labels.,Stop offending drug. Antihistamines. Corticosteroids. Emergency care if severe.
Peptic ulcer diseae,vomiting loss of appetite abdominal pain passage of gases internal itching,A medical condition requiring professional diagnosis and treatment.,Maintain healthy lifestyle. Regular medical checkups. Follow medical advice.,Consult healthcare professional for proper diagnosis and treatment plan.
AIDS,muscle wasting patches in throat high fever extra marital contacts,Advanced stage of HIV infection severely weakening immune system.,Safe sex practices. Dont share needles. Pre-exposure prophylaxis (PrEP). Regular testing.,Antiretroviral therapy (ART). Treat opportunistic infections. Regular monitoring.
Diabetes ,fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,A medical condition requiring professional diagnosis and treatment.,Maintain healthy lifestyle. Regular medical checkups. Follow medical advice.,Consult healthcare professional for proper diagnosis and treatment plan.
Gastroenteritis,vomiting sunken eyes dehydration diarrhoea,Inflammation of stomach and intestines causing diarrhea and vomiting.,Wash hands frequently. Safe food handling. Clean water. Avoid contaminated food.,Oral rehydration. Rest. Avoid solid foods initially. Antibiotics if bacterial.
Bronchial Asthma,fatigue cough high fever breathlessness family history mucoid sputum,Chronic respiratory condition causing airways to narrow and swell.,Avoid triggers. Use air filters. Manage allergies. Regular medications.,Inhalers (bronchodilators and steroids). Avoid triggers. Emergency inhaler. Action plan.
Hypertension ,headache chest pain dizziness loss of balance lack of concentration,A medical condition requiring professional diagnosis and treatment.,Maintain healthy lifestyle. Regular medical checkups. Follow medical advice.,Consult healthcare professional for proper diagnosis and treatment plan.
Migraine,acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,Severe recurring headaches often with nausea and light sensitivity.,Identify triggers. Regular sleep. Stay hydrated. Manage stress. Avoid trigger foods.,Pain relievers. Triptans. Preventive medications. Rest in dark room. Manage triggers.
Cervical spondylosis,back pain weakness in limbs neck pain dizziness loss of balance,Age-related wear and tear affecting neck spinal discs.,Good posture. Regular exercise. Avoid heavy lifting. Ergonomic workspace.,Physical therapy. Pain medications. Neck exercises. Surgery if severe.
Paralysis (brain hemorrhage),vomiting headache weakness of one body side altered sensorium,Loss of muscle function due to bleeding in brain.,Control blood pressure. Healthy lifestyle. No smoking. Limit alcohol.,Emergency medical care. Surgery if needed. Rehabilitation. Physical therapy.
Jaundice,itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,Yellowing of skin and eyes due to high bilirubin levels.,Hepatitis vaccination. Avoid alcohol. Safe food and water. Good hygiene.,Treat underlying cause. Rest. Adequate nutrition. Phototherapy in newborns.
Malaria,chills vomiting high fever sweating headache nausea muscle pain,Mosquito-borne disease caused by parasites.,Mosquito nets. Insect repellent. Antimalarial drugs. Eliminate standing water.,Antimalarial medications. Hospitalization if severe. Supportive care. Fluids.
Chicken pox,itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,Highly contagious viral infection causing itchy rash.,Vaccination. Avoid contact with infected. Good hygiene.,Antiviral medications. Antihistamines for itching. Calamine lotion. Rest.
Dengue,skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain muscle pain red spots over body,Mosquito-borne viral infection causing high fever and joint pain.,Mosquito control. Protective clothing. Insect repellent. Remove standing water.,Rest. Fluids. Pain relievers (avoid aspirin). Hospitalization if severe.
Typhoid,chills vomiting fatigue high fever nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,Bacterial infection spread through contaminated food and water.,Vaccination. Safe food and water. Good hygiene. Handwashing.,Antibiotics. Fluids. Rest. Hospitalization if severe.
hepatitis A,joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,Viral liver infection spread through contaminated food/water.,Vaccination. Good hygiene. Safe food and water. Handwashing.,Rest. Adequate nutrition. Avoid alcohol. Supportive care. Usually self-limiting.
Hepatitis B,itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,Viral infection attacking liver spread through blood/body fluids.,Vaccination. Safe sex. Dont share needles. Screen blood products.,Antiviral medications. Regular monitoring. Liver transplant if severe.
Hepatitis C,fatigue yellowish skin nausea loss of appetite family history,Viral infection causing liver inflammation.,Avoid sharing needles. Safe sex. Screen blood. No vaccine available.,Antiviral medications. High cure rate. Liver transplant if advanced.
Hepatitis D,joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,Liver infection requiring Hepatitis B to replicate.,Hepatitis B vaccination. Avoid sharing needles. Safe sex.,Interferon therapy. Manage Hepatitis B. Liver transplant if needed.
Hepatitis E,joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes coma stomach bleeding,Liver infection spread through contaminated water.,Safe drinking water. Good hygiene. Proper sanitation.,Rest. Adequate nutrition. Avoid alcohol. Usually self-limiting.
Alcoholic hepatitis,vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload.1,Liver inflammation due to excessive alcohol consumption.,Limit alcohol consumption. Healthy diet. Regular exercise.,Stop alcohol completely. Nutritional therapy. Corticosteroids. Liver transplant if severe.
Tuberculosis,chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,Bacterial infection primarily affecting lungs.,BCG vaccination. Avoid close contact. Good ventilation. Early detection.,Long-term antibiotics (6-9 months). Directly observed therapy. Isolation initially.
Common Cold,continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,Viral infection of upper respiratory tract.,Wash hands. Avoid sick people. Dont touch face. Boost immunity.,Rest. Fluids. Over-the-counter medications. Usually resolves in 7-10 days.
Pneumonia,chills fatigue cough high fever breathlessness sweating malaise chest pain fast heart rate rusty sputum,Infection inflaming air sacs in lungs.,Vaccination. Good hygiene. Dont smoke. Healthy lifestyle.,Antibiotics (bacterial). Antivirals (viral). Rest and fluids. Hospitalization if severe.
Dimorphic hemmorhoids(piles),constipation pain during bowel movements pain in anal region bloody stool irritation in anus,A medical condition requiring professional diagnosis and treatment.,Maintain healthy lifestyle. Regular medical checkups. Follow medical advice.,Consult healthcare professional for proper diagnosis and treatment plan.
Heart attack,vomiting breathlessness sweating chest pain,Blocked blood flow to heart muscle.,Healthy diet. Exercise. No smoking. Control blood pressure and cholesterol.,Emergency medical care. Medications. Angioplasty. Cardiac rehabilitation.
Varicose veins,fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,Enlarged twisted veins usually in legs.,Exercise. Avoid prolonged standing. Elevate legs. Maintain healthy weight.,Compression stockings. Sclerotherapy. Laser treatment. Surgery.
Hypothyroidism,fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,Underactive thyroid gland producing insufficient hormones.,Adequate iodine. Regular checkups if family history.,Thyroid hormone replacement. Regular monitoring. Lifelong medication.
Hyperthyroidism,fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,Overactive thyroid producing excess hormones.,Regular checkups. Monitor thyroid function.,Anti-thyroid medications. Radioactive iodine. Surgery. Beta blockers.
Hypoglycemia,vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger slurred speech irritability palpitations,Abnormally low blood sugar levels.,Regular meals. Monitor blood sugar. Adjust diabetes medications.,Fast-acting carbohydrates. Glucose tablets. Adjust medications. Emergency glucagon.
Osteoarthristis,joint pain neck pain knee pain hip joint pain swelling joints painful walking,A medical condition requiring professional diagnosis and treatment.,Maintain healthy lifestyle. Regular medical checkups. Follow medical advice.,Consult healthcare professional for proper diagnosis and treatment plan.
Arthritis,muscle weakness stiff neck swelling joints movement stiffness painful walking,Inflammation of joints causing pain and stiffness.,Healthy weight. Regular exercise. Protect joints. Balanced diet.,NSAIDs. DMARDs. Physical therapy. Lifestyle modifications.
(vertigo) Paroymsal  Positional Vertigo,vomiting headache nausea spinning movements loss of balance unsteadiness,A medical condition requiring professional diagnosis and treatment.,Maintain healthy lifestyle. Regular medical checkups. Follow medical advice.,Consult healthcare professional for proper diagnosis and treatment plan.
Acne,skin rash pus filled pimples blackheads scurring,A medical condition requiring professional diagnosis and treatment.,Maintain healthy lifestyle. Regular medical checkups. Follow medical advice.,Consult healthcare professional for proper diagnosis and treatment plan.
Urinary tract infection,burning micturition bladder discomfort foul smell of urine continuous feel of urine,A medical condition requiring professional diagnosis and treatment.,Maintain healthy lifestyle. Regular medical checkups. Follow medical advice.,Consult healthcare professional for proper diagnosis and treatment plan.
Psoriasis,skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,A medical condition requiring professional diagnosis and treatment.,Maintain healthy lifestyle. Regular medical checkups. Follow medical advice.,Consult healthcare professional for proper diagnosis and treatment plan.
Impetigo,skin rash high fever blister red sore around nose yellow crust ooze,A medical condition requiring professional diagnosis and treatment.,Maintain healthy lifestyle. Regular medical checkups. Follow medical advice.,Consult healthcare professional for proper diagnosis and treatment plan.
